	category	psmiles	compound	smiles	average size	water3	logkd
621	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	250	3	3.127104798
81	PA	[*]NCCCCCCCC(=O)[*]	PFPeA	C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O	3000	2	0.698970004
775	PE	[*]C=C[*]	sulfadiazine	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	150	3	6.26
321	PP	[*]CC([*])C	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	4000	2	2.539953842
810	PE	[*]C=C[*]	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	100	2	1.840733235
1050	PE	[*]C=C[*]	azoxystrobin	CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC	150	1	2.11
508	PE	[*]C=C[*]	2,2',4,5,5'-pentachlorobiphenyl 	C1=CC=C(C=C1)C2=CC(C(=CC2(Cl)Cl)Cl)(Cl)Cl	150	1	6.2
66	PE	[*]C=C[*]	PFHpA	C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	1.73479983
334	PE	[*]C=C[*]	PCB-105	C1=CC(=C(C=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl	100	1	6.179999986
971	PP	[*]CC([*])C	ethyl-benzene	CCC1=CC=CC=C1	4000	2	2.2999429
776	PP	[*]CC([*])C	Sulfadiazine	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	150	3	0.85
289	PE	[*]C=C[*]	PCB 170	C1=CC(=C(C(=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl	150	1	7.3
1054	PE	[*]C=C[*]	pyraclostrobin	COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC	100	2	0.995635195
395	PE	[*]C=C[*]	PCB-101	C1=CC(=C(C=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl	100	3	6.550000001
631	PE	[*]C=C[*]	carbamazepine	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	150	1	2.28
283	PE	[*]C=C[*]	2,2′,3,3′,4,5-hexachlorobiphenyl	C1=CC(=C(C(=C1C2=C(C(=CC(=C3)Cl)Cl)Cl)Cl)Cl)Cl	135	2	6.6
1009	PE	[*]C=C[*]	norfloxacin (NOR)	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O	94	2	0.204119983
551	PE	[*]C=C[*]	Chrysene	C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43	225	3	6.39
361	PP	[*]CC([*])C	3,3′,4,4′-tetrachlorobiphenyl	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl  	257.5	3	5.63
1070	PE	[*]C=C[*]	benzophenone-3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	250	2	2.356599436
64	PS	[*]C=C[*]c1ccccc1	Perfluoroheptanoic acid	C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	221.5	3	1.731
765	PE	[*]C=C[*]	Pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C3	225	3	5.57
945	PE	[*]C=C[*]	Toluene	CC1=CC=CC=C1	135	2	2.91
264	PE	[*]C=C[*]	1,2,4-trichlorobenzene (TeCB)	C1=CC(=C(C(=C1)Cl)Cl)Cl 	154.35	1	3.763427994
750	PS	[*]C=C[*]c1ccccc1	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	2.255272505
635	PS	[*]C=C[*]c1ccccc1	Dibenz[a,h]anthracene	C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32	221.5	3	7.52
597	PA	[*]NCCCCCCCC(=O)[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	220	3	3.350248018
20	PE	[*]C=C[*]	perfluorotetradecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	150	1	2.81
65	PA	[*]NCCCCCCCC(=O)[*]	PFHpA	C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	3000	2	0.903089987
902	PP	[*]CC([*])C	amoxicillin (AMX)	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C	117.29	2	1.243038049
1029	PVC	[*]C=C[*]Cl	diethyl phthalate (DEP)	CCOC(=O)C1=CC=CC=C1C(=O)OCC	75	2	0.785329835
965	PE	[*]C=C[*]	difenoconazole (DIFE)	CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl	5000	2	2.407390904
296	PE	[*]C=C[*]	2,2′,3,4,4′,5′-hexachlorobiphenyl	C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl 	135	2	6.6
602	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.698970004
419	PS	[*]C=C[*]c1ccccc1	4-Fluorobenzoic acid	C1=CC(=CC=C1C(=O)O)F	221.5	3	2.134
627	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.352182518
790	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	154.35	1	3.594237812
261	PE	[*]C=C[*]	1,2,3-trichlorobenzene (TeCB)	C1=CC(=C(C(=C1)Cl)Cl)Cl 	132.5	1	4.260412485
307	PE	[*]C=C[*]	1,2,3,4-tetrachlorobenzene 	C1=CC(=C(C(=C1Cl)Cl)Cl)Cl	150	1	3.89
770	PE	[*]C=C[*]	benzo[ghi]perylene	C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2	150	3	7.61
591	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	0.235	2	4.199999125
457	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	4-chlorophenol (MCP)	C1=CC(=CC=C1O)Cl	150	2	1.025305865
668	PP	[*]CC([*])C	Dibenzanthracene	C1=CC=C2C=C3C4=CC=CC=C4C5=CC=CC=C5C3=CC2=C1	150	3	7.0
541	PVC	[*]C=C[*]Cl	3-hydroxyphenanthrene	C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)O	150	1	4.91
578	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	2000	2	2.991226076
976	PE	[*]C=C[*]	di-2-ethylhexyl phthalate 	CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC	150	3	4.99
188	PE	[*]C=C[*]	gamma-HCH	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	150	3	2.33
755	PVC	[*]C=C[*]Cl	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	2.113943352
251	PE	[*]C=C[*]	2,2′,3,5′-tetrachlorobiphenyl	C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC(=C2)Cl)Cl	225	3	5.89
71	PA	[*]NCCCCCCCC(=O)[*]	PFHxA	C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O	3000	2	0.698970004
101	PS	[*]C=C[*]c1ccccc1	Perfluorooctane sulfonamide	C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F	10	3	2.79
199	PE	[*]C=C[*]	pentachlorobenzene	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl	150	3	4.63
484	PP	[*]CC([*])C	diclofenac (DCF)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	1000	3	0.204119983
1067	PE	[*]C=C[*]	carbendazim (CAR)	COC(=O)NC1=NC2=CC=CC=C2N1	5000	2	0.556302501
691	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	naphthalene	C1=CC=C2C=CC=CC2=C1	2000	2	2.794418331
620	PP	[*]CC([*])C	Phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	3	4.0
732	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	3.204119983
151	PE	[*]C=C[*]	17B-estradiol (E2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	54.4	2	3.391376239
736	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	3000	1	4.213073939
330	PP	[*]CC([*])C	2,3,3′,4,4′-pentachlorobiphenyl	C1=CC(=C(C=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl	257.5	3	5.77
273	PE	[*]C=C[*]	diflubenzuron (DIF)	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F	5000	2	2.798581595
655	PE	[*]C=C[*]	fluoranthene	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	150	3	5.52
384	PE	[*]C=C[*]	PCB 52	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl	150	3	6.04
806	PA	[*]NCCCCCCCC(=O)[*]	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	134.2	2	1.984527313
451	PE	[*]C=C[*]	PCB 74	C1=CC(=CC=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl	150	1	5.93
365	PE	[*]C=C[*]	PCB-118	C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	100	1	6.299999997
281	PE	[*]C=C[*]	2,2',3,3',4,4',6-heptachlorobiphenyl	C1=CC(=C(C(=C1C2=C(C(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl	150	1	3.41
956	PE	[*]C=C[*]	3,6-dimethyl phenanthrene	CC1=CC2=C(C=C1)C=CC3=C2C=C(C=C3)C	150	1	5.2
886	PE	[*]C=C[*]	tylosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC	150	1	1.8
411	PS	[*]C=C[*]c1ccccc1	triclosan (TCS)	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl	313	2	2.414973348
725	PP	[*]CC([*])C	2,7-BCZ	C1=CC2=C(C=C1Br)NC3=C2C=CC(=C3)Br	150	3	2.071882007
899	PVC	[*]C=C[*]Cl	amoxicillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C	4300	2	3.421011303
785	PA	[*]NCCCCCCCC(=O)[*]	sulfadiazine (SDZ)	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	134.2	3	0.819543936
568	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	2	3.69019608
799	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	3000	1	3.979798682
149	PE	[*]C=C[*]	17B-estradiol (E2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	150	2	1.670245853
482	PE	[*]C=C[*]	diclofenac (DCF)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	350	3	0.397940009
207	PE	[*]C=C[*]	pentachlorobenzene (PeCB)	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl	154.35	1	4.62324929
916	PE	[*]C=C[*]	2-tertbutyl-4-methyl phenol (2,4-Tmphenol)	CC1=CC(=C(C=C1)O)C(C)(C)C	150	2	1.694605199
218	PE	[*]C=C[*]	PCB 153	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl	150	3	7.59
239	PE	[*]C=C[*]	1,3,5-trichlorobenzene (TeCB)	C1=C(C=C(C=C1Cl)Cl)Cl	132.5	1	3.75855614
613	PE	[*]C=C[*]	Phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	3	4.44
355	PP	[*]CC([*])C	PCB 77	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl	150	3	5.63
619	PP	[*]CC([*])C	Phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	257.5	3	4.0
192	PP	[*]CC([*])C	gamma-Hexachlorocyclohexane	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	257.5	3	2.58
280	PP	[*]CC([*])C	PCB 128	C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl	150	3	5.45
191	PS	[*]C=C[*]c1ccccc1	gamma-Hexachlorocyclohexane	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	221.5	3	3.01
487	PE	[*]C=C[*]	nitrobenzene	C1=CC=C(C=C1)[N+](=O)[O-]	150	1	2.12
513	PE	[*]C=C[*]	Chlorobenzene	C1=CC=C(C=C1)Cl	135	2	3.08
878	PS	[*]C=C[*]c1ccccc1	diisobutyl phthalate (DiBP)	CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C	150	2	3.62054204
796	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	219	1	4.009760995
132	PE	[*]C=C[*]	naproxen (NPX)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	350	1	0.113943352
618	PP	[*]CC([*])C	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.340444115
981	PE	[*]C=C[*]	n-Heptan	CCCCCCC	150	1	2.64
252	PP	[*]CC([*])C	2,2′,3,5′-tetrachlorobiphenyl	C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC(=C2)Cl)Cl	257.5	3	5.14
792	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	3000	1	3.823910912
603	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.716003344
263	PE	[*]C=C[*]	1,2,3-trichlorobenzene (TeCB)	C1=CC(=C(C(=C1)Cl)Cl)Cl 	154.35	1	4.389971883
70	PS	[*]C=C[*]c1ccccc1	Perfluorohexanoic acid	C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O	221.5	3	1.76
272	PE	[*]C=C[*]	diflubenzuron (DIF)	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F	5000	2	2.710117365
112	PS	[*]C=C[*]c1ccccc1	PFBS	C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F	9.5	3	2.108226656
327	PE	[*]C=C[*]	2,3,3′,4,4′-pentachlorobiphenyl	C1=CC(=C(C=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl	135	2	6.3
115	PE	[*]C=C[*]	Oxytetracycline	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O	135	2	1.176
323	PS	[*]C=C[*]c1ccccc1	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	4000	2	2.390051496
1079	PS	[*]C=C[*]c1ccccc1	benzophenone-3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	0.5	2	2.817631467
783	PS	[*]C=C[*]c1ccccc1	sulfadiazine (SDZ)	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	132.05	2	0.86923172
586	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	102	2	3.410000713
544	PVC	[*]C=C[*]Cl	2-hydroxyphenanthrene	C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)O	150	1	4.91
740	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	154.35	1	4.841984805
907	PE	[*]C=C[*]	tricyclazole	CC1=C2C(=CC=C1)SC3=NN=CN23	280	2	1.643452676
563	PVC	[*]C=C[*]Cl	Phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	1	4.83
927	PE	[*]C=C[*]	Sulfamethoxazole	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	150	1	2.85
694	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	150	2	2.812311609
437	PE	[*]C=C[*]	2,4,4′-trichlorobiphenyl	C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl	95	1	5.35
701	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	10	2	3.970858057
569	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	2	3.930964305
478	PP	[*]CC([*])C	diclofenac (DCF)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	1000	1	0.447158031
716	PP	[*]CC([*])C	Benzoapyrene	C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3 	150	3	6.1
278	PP	[*]CC([*])C	2,2′,3,3′,4,4′-hexachlorobiphenyl	C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl	257.5	3	5.45
921	PP	[*]CC([*])C	m-xylene (m-Xyl)	CC1=CC(=CC=C1)C	4000	2	2.340047318
897	PP	[*]CC([*])C	amoxicillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C	3400	2	3.221857435
2	PE	[*]C=C[*]	4,4′-DDT	[13CH]1=[13CH][13C](=[13CH][13CH]=[13C]1C([13C]2=[13CH][13CH]=[13C]([13CH]=[13CH]2)Cl)C(Cl)(Cl)Cl)Cl 	150	3	4.99
229	PE	[*]C=C[*]	PCB 169	C1=C(C=C(C(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2)Cl)Cl)Cl	150	3	8.34
585	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	2	3.26073902
1063	PVC	[*]C=C[*]Cl	fenbendazole (FEN)	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	94	2	-0.397940009
960	PP	[*]CC([*])C	metronidazole	CC1=NC=C(N1CCO)[N+](=O)[O-]	175	2	0.673941999
1011	PS	[*]C=C[*]c1ccccc1	norfloxacin (NOR)	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O	0.055	2	3.934321668
371	PP	[*]CC([*])C	2,3′,4,4′,5-pentachlorobiphenyl	C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	257.5	3	5.71
1014	PE	[*]C=C[*]	enrofloxacin (ENR)	CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F	94	2	-0.15490196
859	PP	[*]CC([*])C	imazamox	CC(C)C1(C(=O)NC(=N1)C2=C(C=C(C=N2)COC)C(=O)O)C	4.5	1	1.330413773
862	PE	[*]C=C[*]	Ibuprofen	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	150	3	0.91
871	PS	[*]C=C[*]c1ccccc1	ibuprofen (IBU)	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	700	1	0.924279286
623	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.217483944
660	PE	[*]C=C[*]	anthracene	C1=CC=C2C=C3C=CC=CC3=CC2=C1	150	1	4.3
696	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	10	2	3.658106836
817	PVC	[*]C=C[*]Cl	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	94	2	-0.301029996
756	PVC	[*]C=C[*]Cl	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	2.176091259
37	PS	[*]C=C[*]c1ccccc1	PFDoA	C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	1	3.082426301
353	PE	[*]C=C[*]	PCB 77	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl	150	3	5.79
947	PS	[*]C=C[*]c1ccccc1	toluene	CC1=CC=CC=C1	3500	2	1.369215857
236	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	2,4,6-trichlorophenol 	C1=C(C=C(C(=C1Cl)O)Cl)Cl	150	1	0.662757832
794	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	154.35	1	3.916453949
499	PS	[*]C=C[*]c1ccccc1	nitrobenzene	C1=CC=C(C=C1)[N+](=O)[O-]	0.235	2	3.140004951
55	PS	[*]C=C[*]c1ccccc1	Pentadecafluorooctanoic acid	C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	221.5	3	3.22
302	PE	[*]C=C[*]	PCB 149	C1=CC(=C(C(=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	150	3	6.15
286	PE	[*]C=C[*]	2,2′,3,3′,4,4′,5-heptachlorobiphenyl	C1=CC(=C(C(=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl	95	1	7.29
219	PP	[*]CC([*])C	PCB 153	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl	150	3	6.19
387	PE	[*]C=C[*]	PCB-52	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl	100	3	6.040000002
854	PE	[*]C=C[*]	bisphenol A (BPA)	CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O	510.9	2	1.954242509
390	PP	[*]CC([*])C	2,2′,4,5,5′-pentachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl	257.5	3	5.51
352	PE	[*]C=C[*]	PCB 77	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl	150	1	6.22
193	PP	[*]CC([*])C	δ-Hexachlorocyclohexane	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	257.5	3	2.23
235	PVC	[*]C=C[*]Cl	fipronil	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F	112.5	2	1.903089987
843	PP	[*]CC([*])C	tetrabromobisphenol-A	CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br	218	2	2.996949248
480	PS	[*]C=C[*]c1ccccc1	diclofenac (DCF)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	700	1	1.100370545
116	PS	[*]C=C[*]c1ccccc1	oxytetracycline	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O	725	2	1.620136055
818	PVC	[*]C=C[*]Cl	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	86.92	2	1.618048097
1015	PE	[*]C=C[*]	enrofloxacin (ENR)	CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F	94	2	0.146128036
1041	PVC	[*]C=C[*]Cl	methotrexate (MET)	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	94	2	-1.0
915	PE	[*]C=C[*]	2-Tertbutyl-4-methyl	CC1=CC(=C(C=C1)O)C(C)(C)C	150	1	1.72
120	PE	[*]C=C[*]	tetracycline (TC)	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	105	2	1.155336037
699	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	10	2	3.802773725
856	PP	[*]CC([*])C	bisphenol A (BPA)	CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O	144.4	2	0.301029996
815	PS	[*]C=C[*]c1ccccc1	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	0.5	2	3.692238657
62	PE	[*]C=C[*]	perfluoroheptanoic acid	C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	150	3	1.73
571	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	12	2	4.100001583
453	PE	[*]C=C[*]	PCB-74	C1=CC(=CC=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl	100	1	5.929999981
515	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	phenol	C1=CC=C(C=C1)O	2700	2	3.317415586
223	PE	[*]C=C[*]	2,2′,4,4′,5,5′-hexachlorobiphenyl	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl 	135	2	6.4
221	PP	[*]CC([*])C	2,2′,4,4′,5,5′-hexachlorobiphenyl	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl 	257.5	3	6.19
680	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	naphthalene	C1=CC=C2C=CC=CC2=C1	3000	1	3.907244706
465	PE	[*]C=C[*]	2,2′,5-trichlorobiphenyl	C1=CC=C(C(=C1)C2=C(C=CC(=C2)Cl)Cl)Cl 	135	2	4.9
52	PE	[*]C=C[*]	perfluorononanoic acid	C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	150	3	1.62
992	PVC	[*]C=C[*]Cl	dibutyl phthalate (DBP)	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	75	2	2.758836225
